Fon Kodu,Fon Adı,Şemsiye Fon Türü,Alt Kategori,Portföy Yönetim Şirketi,Döviz Cinsi
OPI,OSMANLI PORTFÖY KAR PAYI ÖDEYEN HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,Hisse Senedi,OSMANLI,TL
OPL,OSMANLI PORTFÖY İKİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,Değişken,OSMANLI,TL
ORC,ASTRA PORTFÖY ALFA SERBEST FON,Serbest Şemsiye Fonu,Diğer Serbest,QİNVEST,TL
OSD,OSMANLI PORTFÖY ÖZEL SEKTÖR BORÇLANMA ARAÇLARI FONU,Borçlanma Araçları Şemsiye Fonu,Özel Sektör Borçlanma Araçları,OSMANLI,TL
OSL,OSMANLI PORTFÖY KISA VADELİ BORÇLANMA ARAÇLARI (TL) FONU,Borçlanma Araçları Şemsiye Fonu,Borçlanma Araçları,OSMANLI,TL
OTJ,OYAK PORTFÖY KIYMETLİ MADENLER FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,Kıymetli Madenler,OYAK,TL
OTK,OYAK PORTFÖY BİRİNCİ KATILIM SERBEST FON,Serbest Şemsiye Fonu,Diğer Serbest,OYAK,TL
OTM,AZİMUT PORTFÖY OTOMOTİV SEKTÖRÜ DEĞİŞKEN FON,Değişken Şemsiye Fonu,Tematik,AZİMUT,TL
OUD,OSMANLI PORTFÖY ATLANTİK SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,Döviz,OSMANLI,USD
OVD,QNB PORTFÖY EMTİA FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,Emtia,QNB,TL
P1A,A1 CAPİTAL PORTFÖY PARA PİYASASI (TL) SERBEST FON,Serbest Şemsiye Fonu,Para Piyasası,A1 CAPİTAL,TL
PA2,PUSULA PORTFÖY ALTIN KATILIM FONU,Katılım Şemsiye Fonu,Altın,PUSULA,TL
PAB,A1 CAPİTAL PORTFÖY PARA PİYASASI (TL) FONU,Para Piyasası Şemsiye Fonu,Para Piyasası,A1 CAPİTAL,TL
PAF,PARDUS PORTFÖY ALTIN FONU,Kıymetli Madenler Şemsiye Fonu,Altın,PARDUS,TL
PAL,AK PORTFÖY ALTINCI SERBEST(DÖVİZ) FON,Serbest Şemsiye Fonu,Döviz,AK,USD
PAO,PARDUS PORTFÖY ANADOLU HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,Hisse Senedi,PARDUS,TL
PBI,PARDUS PORTFÖY BİRİNCİ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,Fon Sepeti,PARDUS,TL
PBK,ASTRA PORTFÖY BİRİNCİ KATILIM SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,Döviz,QİNVEST,USD
PBN,PİRAMİT PORTFÖY BİRİNCİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,Hisse Senedi,PİRAMİT,TL
PBR,PUSULA PORTFÖY BİRİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,Değişken,PUSULA,TL
PCE,PARDUS PORTFÖY İNCİ SERBEST FON,Serbest Şemsiye Fonu,Diğer Serbest,PARDUS,TL
PDD,ASTRA PORTFÖY KATILIM FONU,Katılım Şemsiye Fonu,Diğer Katılım,QİNVEST,TL
PDF,ASTRA PORTFÖY BİRİNCİ SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,Döviz,QİNVEST,USD
PEA,PERFORM PORTFÖY ALTIN FONU,Kıymetli Madenler Şemsiye Fonu,Altın,PERFORM,TL
PFO,PHİLLİP PORTFÖY FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,Fon Sepeti,PHİLLİP,TL
PFS,ATLAS PORTFÖY FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,Fon Sepeti,ATLAS,TL
PGD,ASTRA PORTFÖY AGRESİF DEĞİŞKEN FON,Değişken Şemsiye Fonu,Değişken,QİNVEST,TL
PGS,AZİMUT PORTFÖY PAY GERİ ALIMI YAPAN ŞİRKETLER HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,BIST Endeks,AZİMUT,TL
PHE,PUSULA PORTFÖY HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,Hisse Senedi,PUSULA,TL
PHI,PİRAMİT PORTFÖY HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,Hisse Senedi,PİRAMİT,TL
PHK,PHİLLİP PORTFÖY KATILIM HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,Hisse Senedi,PHİLLİP,TL
PID,PİRAMİT PORTFÖY DEĞİŞKEN FON,Değişken Şemsiye Fonu,Değişken,PİRAMİT,TL
PIL,ROTA PORTFÖY PİL TEKNOLOJİLERİ VE ENERJİ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,Teknoloji Temalı,ROTA,TL
PIP,GARANTİ PORTFÖY İKİNCİ PARA PİYASASI SERBEST (TL) FON,Serbest Şemsiye Fonu,Para Piyasası,GARANTİ,TL
PIR,PİRAMİT PORTFÖY ALTIN FONU,Kıymetli Madenler Şemsiye Fonu,Altın,PİRAMİT,TL
PIS,PARDUS PORTFÖY İKİNCİ KISA VADELİ SERBEST (TL) FON,Serbest Şemsiye Fonu,Kısa Vade,PARDUS,TL
PJL,PHİLLİP PORTFÖY PARA PİYASASI FONU,Para Piyasası Şemsiye Fonu,Para Piyasası,PHİLLİP,TL
PJP,PERFORM PORTFÖY BİRİNCİ SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,Döviz,PERFORM,USD
PK1,AHLATCI PORTFÖY PARA PİYASASI KATILIM (TL) FONU,Katılım Şemsiye Fonu,Para Piyasası,AHLATCI,TL
PKD,PUSULA PORTFÖY İKİNCİ DENGE KATILIM SERBEST FON,Serbest Şemsiye Fonu,Diğer Serbest,PUSULA,TL
PKF,ATA PORTFÖY ALTIN KATILIM FONU,Katılım Şemsiye Fonu,Altın,ATA,TL
PKM,PUSULA PORTFÖY PARA PİYASASI KATILIM (TL) FONU,Katılım Şemsiye Fonu,Para Piyasası,PUSULA,TL
PKP,ATA PORTFÖY PARA PİYASASI KATILIM SERBEST FON,Serbest Şemsiye Fonu,Para Piyasası,ATA,TL
PKR,ROTA PORTFÖY PARA PİYASASI KATILIM FONU,Katılım Şemsiye Fonu,Para Piyasası,ROTA,TL
PKT,YAPI KREDİ PORTFÖY PARA PİYASASI KATILIM SERBEST (TL) FON,Serbest Şemsiye Fonu,Para Piyasası,YAPI KREDİ,TL
PKV,PARDUS PORTFÖY KISA VADELİ SERBEST (TL) FON,Serbest Şemsiye Fonu,Kısa Vade,PARDUS,TL
PLR,OSMANLI PORTFÖY PARA PİYASASI FONU,Para Piyasası Şemsiye Fonu,Para Piyasası,OSMANLI,TL
PMP,PARDUS PORTFÖY MODEL PORTFÖY HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,Hisse Senedi,PARDUS,TL
PNU,PUSULA PORTFÖY İKİNCİ PARA PİYASASI (TL) FONU,Para Piyasası Şemsiye Fonu,Para Piyasası,PUSULA,TL
PO9,PARDUS PORTFÖY ONDOKUZUNCU HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,Hisse Senedi,PARDUS,TL
POS,PARDUS PORTFÖY ONBEŞİNCİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,Hisse Senedi,PARDUS,TL
PP1,PARDUS PORTFÖY BİRİNCİ KATILIM FONU,Katılım Şemsiye Fonu,Diğer Katılım,PARDUS,TL
PPB,PHİLLİP PORTFÖY BİRİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,Hisse Senedi,PHİLLİP,TL
PPD,PERFORM PORTFÖY HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,Hisse Senedi,PERFORM,TL
PPE,PHİLLİP PORTFÖY SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,Döviz,PHİLLİP,USD
PPG,ALBARAKA PORTFÖY PARA PİYASASI KATILIM FONU,Katılım Şemsiye Fonu,Para Piyasası,ALBARAKA,TL
PPH,PARDUS PORTFÖY BIST 100 DIŞI ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,BIST Endeks,PARDUS,TL
PPI,YAPI KREDİ PORTFÖY ÜÇÜNCÜ PARA PİYASASI (TL) FONU,Para Piyasası Şemsiye Fonu,Para Piyasası,YAPI KREDİ,TL
PPJ,AK PORTFÖY İKİNCİ PARA PİYASASI SERBEST (TL) FON,Serbest Şemsiye Fonu,Para Piyasası,AK,TL
PPK,QNB PORTFÖY PARA PİYASASI KATILIM (TL) FONU,Katılım Şemsiye Fonu,Para Piyasası,QNB,TL
PPM,PİRAMİT PORTFÖY MUTLAK GETİRİ HEDEFLİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,İstatiksel Arbitraj,PİRAMİT,TL
PPN,NUROL PORTFÖY PARA PİYASASI (TL) FONU,Para Piyasası Şemsiye Fonu,Para Piyasası,NUROL,TL
PPP,PERFORM PORTFÖY PARA PİYASASI (TL) FONU,Para Piyasası Şemsiye Fonu,Para Piyasası,PERFORM,TL
PPS,PHİLLİP PORTFÖY BİRİNCİ SERBEST FON,Serbest Şemsiye Fonu,Diğer Serbest,PHİLLİP,TL
PPT,ATLAS PORTFÖY PARA PİYASASI (TL) FONU,Para Piyasası Şemsiye Fonu,Para Piyasası,ATLAS,TL
PPV,AKTİF PORTFÖY PARA PİYASASI SERBEST (TL) FON,Serbest Şemsiye Fonu,Para Piyasası,AKTİF,TL
PPZ,AZİMUT PORTFÖY PARA PİYASASI (TL) FONU,Para Piyasası Şemsiye Fonu,Para Piyasası,AZİMUT,TL
PRD,PİRAMİT PORTFÖY PARA PİYASASI (TL) FONU,Para Piyasası Şemsiye Fonu,Para Piyasası,PİRAMİT,TL
PRH,AURA PORTFÖY PARA PİYASASI (TL) FONU,Para Piyasası Şemsiye Fonu,Para Piyasası,AURA,TL
PRR,INVEO PORTFÖY PARA PİYASASI KATILIM (TL) FONU,Katılım Şemsiye Fonu,Para Piyasası,INVEO,TL
PRU,ALLBATROSS PORTFÖY KISA VADELİ SERBEST (TL) FON,Serbest Şemsiye Fonu,Kısa Vade,ALLBATROSS,TL
PRV,ASTRA PORTFÖY PARA PİYASASI SERBEST FON,Serbest Şemsiye Fonu,Para Piyasası,QINVEST,TL
PRY,PUSULA PORTFÖY PARA PİYASASI (TL) FONU,Para Piyasası Şemsiye Fonu,Para Piyasası,PUSULA,TL
PSE,ATLAS PORTFÖY PARA PİYASASI SERBEST FON,Serbest Şemsiye Fonu,Para Piyasası,ATLAS,TL
PSH,DENİZ PORTFÖY PERAKENDE SEKTÖRÜ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,Tematik,DENİZ,TL
PSL,AZİMUT PORTFÖY 8.0 SERBEST FON,Serbest Şemsiye Fonu,Diğer Serbest,AZİMUT,TL
PTE,TEB PORTFÖY BİRİNCİ PARA PİYASASI SERBEST (TL) FON,Serbest Şemsiye Fonu,Para Piyasası,TEB,TL
PTF,QNB PORTFÖY TREND SERBEST FON,Serbest Şemsiye Fonu,Diğer Serbest,QNB,TL
PTN,PHİLLİP PORTFÖY ALTIN FONU,Kıymetli Madenler Şemsiye Fonu,Altın,PHİLLİP,TL
PTO,PARDUS PORTFÖY TEMETTÜ ÖDEYEN ŞİRKETLER HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,Tematik,PARDUS,TL
PTP,AHLATCI PORTFÖY PARA PİYASASI (TL) FONU,Para Piyasası Şemsiye Fonu,Para Piyasası,AHLATCI,TL
PTS,QNB PORTFÖY PARA PİYASASI SERBEST (TL) FON,Serbest Şemsiye Fonu,Para Piyasası,QNB,TL
PUC,AK PORTFÖY BİRİNCİ KISA VADELİ SERBEST (TL)  FON,Serbest Şemsiye Fonu,Kısa Vade,AK,TL
PUK,PUSULA PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,Hisse Senedi,PUSULA,TL
PVK,ALBARAKA PORTFÖY KISA VADELİ KATILIM SERBEST (TL) FON,Serbest Şemsiye Fonu,Kısa Vade,ALBARAKA,TL
PYR,PARDUS PORTFÖY YİRMİNCİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,Hisse Senedi,PARDUS,TL
RAF,ROTA PORTFÖY ALTINCI SERBEST FON,Serbest Şemsiye Fonu,Diğer Serbest,ROTA,TL
RBA,ALBARAKA PORTFÖY BEREKET VAKFI NA DESTEK ALTIN KATILIM FONU,Katılım Şemsiye Fonu,Altın,ALBARAKA,TL
RBB,RE-PIE PORTFÖY BİRİNCİ BORÇLANMA ARAÇLARI (TL) FONU,Borçlanma Araçları Şemsiye Fonu,Borçlanma Araçları,RE-PIE,TL
RBF,ROTA PORTFÖY BİRİNCİ BORÇLANMA ARAÇLARI FONU,Borçlanma Araçları Şemsiye Fonu,Borçlanma Araçları,ROTA,TL
RBH,ALBARAKA PORTFÖY KATILIM HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,Hisse Senedi,ALBARAKA,TL
RBI,RE-PIE PORTFÖY BİRİNCİ SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,Döviz,RE-PIE,USD
RBK,ALBARAKA PORTFÖY KATILIM FONU,Katılım Şemsiye Fonu,Diğer Katılım,ALBARAKA,TL
RBL,QNB PORTFÖY ROBOTİK VE BLOCKCHAİN TEKNOLOJİLERİ SERBEST FON,Serbest Şemsiye Fonu,Teknoloji Temalı,QNB,TL
RBN,RE-PIE PORTFÖY BEŞİNCİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,Hisse Senedi,RE-PIE,TL
RBP,RE-PIE PORTFÖY BİRİNCİ PARA PİYASASI (TL) FONU,Para Piyasası Şemsiye Fonu,Para Piyasası,RE-PIE,TL
RBR,RE-PIE  PORTFÖY BİRİNCİ KATILIM SERBEST FON,Serbest Şemsiye Fonu,Diğer Serbest,RE-PIE,TL
RBT,ALBARAKA PORTFÖY KİRA SERTİFİKALARI  KATILIM FONU,Katılım Şemsiye Fonu,Kira Sertifikası,ALBARAKA,TL
RBV,ALBARAKA PORTFÖY KISA VADELİ KİRA SERTİFİKALARI KATILIM (TL) FONU,Katılım Şemsiye Fonu,Kira Sertifikası,ALBARAKA,TL
RCV,AZİMUT PORTFÖY BİRİNCİ ÇOKLU VARLIK KATILIM FONU,Katılım Şemsiye Fonu,Çoklu Varlık,AZİMUT,TL
RD1,ROTA PORTFÖY BİRİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,Değişken,ROTA,TL
RDF,ROTA PORTFÖY DOKUZUNCU HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,Hisse Senedi,ROTA,TL
RDT,PHİLLİP PORTFÖY RODOSTO SERBEST FON,Serbest Şemsiye Fonu,Diğer Serbest,PHİLLİP,TL
RFM,ROTA PORTFÖY ENERJİ VE METAL FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,Tematik,ROTA,TL
RGD,RE-PIE PORTFÖY AGRESİF DEĞİŞKEN FON,Değişken Şemsiye Fonu,Değişken,RE-PIE,TL
RGH,RE-PIE PORTFÖY MUTLAK GETİRİ HEDEFLİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,İstatiksel Arbitraj,RE-PIE,TL
RHI,RE-PIE PORTFÖY BİRİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,Hisse Senedi,RE-PIE,TL
RHS,ROTA PORTFÖY HİSSE SENEDİ (TL) FON (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,Hisse Senedi,ROTA,TL
RIA,ROTA PORTFÖY İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,İstatiksel Arbitraj,ROTA,TL
RIH,RE-PIE PORTFÖY İKİNCİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,Hisse Senedi,RE-PIE,TL
RIK,RE-PIE PORTFÖY İKİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,Değişken,RE-PIE,TL
RJG,RE-PIE PORTFÖY ALTIN KATILIM FONU,Katılım Şemsiye Fonu,Altın,RE-PIE,TL
RKC,ROTA PORTFÖY İKİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,Değişken,ROTA,TL
RKH,RE-PIE PORTFÖY KATILIM HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,Hisse Senedi,RE-PIE,TL
RKS,ROTA PORTFÖY KİRA SERTİFİKALARI KATILIM FONU,Katılım Şemsiye Fonu,Kira Sertifikası,ROTA,TL
RKV,RE-PIE PORTFÖY KISA VADELİ KATILIM SERBEST (TL) FON,Serbest Şemsiye Fonu,Kısa Vade,RE-PIE,TL
RLH,ROTA PORTFÖY YİRMİNCİ SERBEST FON,Serbest Şemsiye Fonu,Diğer Serbest,ROTA,TL
ROF,ROTA PORTFÖY ONUNCU HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,Diğer Serbest,ROTA,TL
RPC,ROTA PORTFÖY İKLİM DEĞİŞİKLİĞİ ÇÖZÜMLERİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,Tematik,ROTA,TL
RPD,RE-PIE PORTFÖY BİRİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,Değişken,RE-PIE,TL
RPG,ROTA PORTFÖY ALTIN FONU,Kıymetli Madenler Şemsiye Fonu,Altın,ROTA,TL
RPI,ROTA PORTFÖY KATILIM HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,Hisse Senedi,ROTA,TL
RPL,RE-PIE PORTFÖY ALGORİTMİK STRATEJİLER SERBEST FON,Serbest Şemsiye Fonu,Tematik,RE-PIE,TL
RPM,ROTA PORTFÖY İLAÇ VE MEDİKAL TEKNOLOJİLERİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,Teknoloji Temalı,ROTA,TL
RPN,ROTA PORTFÖY NEV SERBEST FON,Serbest Şemsiye Fonu,Diğer Serbest,ROTA,TL
RPP,ROTA PORTFÖY PARA PİYASASI (TL) FONU,Para Piyasası Şemsiye Fonu,Para Piyasası,ROTA,TL
RPS,ROTA PORTFÖY BİRİNCİ SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,Döviz,ROTA,USD
RPT,ROTA PORTFÖY İKİNCİ SERBEST (TL) FON,Serbest Şemsiye Fonu,Diğer Serbest,ROTA,TL
RPX,ROTA PORTFÖY ÜÇÜNCÜ SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,Döviz,ROTA,USD
RRA,ROTA PORTFÖY PARA PİYASASI SERBEST FON,Serbest Şemsiye Fonu,Para Piyasası,ROTA,TL
RRP,RE-PIE PORTFÖY PARA PİYASASI KATILIM (TL) FON,Katılım Şemsiye Fonu,Para Piyasası,RE-PIE,TL
RS1,ROTA PORTFÖY BİRİNCİ KISA VADELİ SERBEST FON,Serbest Şemsiye Fonu,Kısa Vade,ROTA,TL
RSK,ROTA PORTFÖY ONSEKİZİNCİ SERBEST FON,Serbest Şemsiye Fonu,Diğer Serbest,ROTA,TL
RTD,RE-PIE PORTFÖY TEKNOLOJİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,Teknoloji Temalı,RE-PIE,TL
RTG,ATA PORTFÖY ROBOTİK TEKNOLOJİLERİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,Teknoloji Temalı,ATA,TL
RTH,RE-PIE PORTFÖY BİRİNCİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,Hisse Senedi,RE-PIE,TL
RTP,RE-PIE PORTFÖY BİRİNCİ SERBEST FON,Serbest Şemsiye Fonu,Diğer Serbest,RE-PIE,TL
RUT,BV PORTFÖY ROBOTİK VE UZAY TEKNOLOJİLERİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,Teknoloji Temalı,BV,TL
SAS,AK PORTFÖY SABANCI TOPLULUĞU ŞİRKETLERİ ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,BIST Endeks,AK,TL
SBH,SPARTA PORTFÖY BİRİNCİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,Hisse Senedi,SPARTA,TL
SFS,AZİMUT PORTFÖY AGRESİF FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,Fon Sepeti,AZİMUT,TL
SGT,GARANTİ PORTFÖY SİBER GÜVENLİK TEKNOLOJİLERİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,Teknoloji Temalı,GARANTİ,TL
SHE,TEB PORTFÖY ÖNCE KADIN DEĞİŞKEN FON,Değişken Şemsiye Fonu,Tematik,TEB,TL
SHU,SPARTA PORTFÖY ÜÇÜNCÜ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,Hisse Senedi,SPARTA,TL
SKO,STRATEJİ PORTFÖY KAR PAYI ÖDEYEN HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,Kar Payı Ödeyen,STRATEJİ,TL
SKZ,NEO PORTFÖY SEKİZİNCİ SERBEST FON,Serbest Şemsiye Fonu,Diğer Serbest,NEO,TL
SLG,QNB PORTFÖY ALGORİTMİK STRATEJİLER HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,Hisse Senedi,QNB,TL
SNY,ATLAS PORTFÖY SANAYİ SEKTÖRÜ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,Tematik,ATLAS,TL
SOS,HEDEF PORTFÖY SAĞLIK SEKTÖRÜ DEĞİŞKEN FON,Değişken Şemsiye Fonu,Tematik,HEDEF,TL
SPE,AZIMUT PORTFÖY 5.0 SERBEST (DÖVIZ) FON,Serbest Şemsiye Fonu,Döviz,AZİMUT,USD
SPN,AZİMUT PORTFÖY İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,İstatiksel Arbitraj,AZİMUT,TL
SPP,SPARTA PORTFÖY BİRİNCİ PARA PİYASASI (TL) FONU,Para Piyasası Şemsiye Fonu,Para Piyasası,SPARTA,TL
SPR,BV PORTFÖY SPOR ENDÜSTRİSİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,Tematik,BV,TL
SPT,AKTİF PORTFÖY KATILIM FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,Fon Sepeti,AKTİF,TL
SRL,PARDUS PORTFÖY SÜRDÜRÜLEBİLİRLİK HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,Hisse Senedi,PARDUS,TL
SSK,DENİZ PORTFÖY SAĞLIK SEKTÖRÜ DEĞİŞKEN FON,Değişken Şemsiye Fonu,Tematik,DENİZ,TL
SSS,YAPI KREDİ PORTFÖY SAVUNMA SANAYİİ ŞİRKETLERİ ENDEKSİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,BIST Endeks,YAPI KREDİ,TL
ST1,STRATEJİ PORTFÖY BİRİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,Hisse Senedi,STRATEJİ,TL
STI,ATLAS PORTFÖY SENTİMENT SERBEST FON,Serbest Şemsiye Fonu,Diğer Serbest,ATLAS,TL
SUA,ÜNLÜ PORTFÖY BİRİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,Değişken,ÜNLÜ,TL
SUB,ÜNLÜ PORTFÖY İKİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,Değişken,ÜNLÜ,TL
SUC,ÜNLÜ PORTFÖY ÜÇÜNCÜ DEĞIŞKEN FON,Değişken Şemsiye Fonu,Değişken,ÜNLÜ,TL
SUR,EMAA BLUE PORTFÖY SÜRDÜRÜLEBİLİRLİK HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,Hisse Senedi,EMAA BLUE,TL
SVB,STRATEJİ PORTFÖY AGRESİF DEĞİŞKEN FON,Değişken Şemsiye Fonu,Değişken,STRATEJİ,TL
TAL,ATLAS PORTFÖY ALTIN KATILIM FONU,Kıymetli Madenler Şemsiye Fonu,Altın,ATLAS,TL
TAR,AK PORTFÖY TARIM VE GIDA TEKNOLOJİLERİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,Teknoloji Temalı,AK,TL
TAU,İŞ PORTFÖY BIST BANKA ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,BIST Endeks,İŞ,TL
TBT,TEB PORTFÖY BORÇLANMA ARAÇLARI FONU,Borçlanma Araçları Şemsiye Fonu,Borçlanma Araçları,TEB,TL
TBV,İŞ PORTFÖY ÖZEL SEKTÖR BORÇLANMA ARAÇLARI (TL) FONU,Borçlanma Araçları Şemsiye Fonu,Özel Sektör Borçlanma Araçları,İŞ,TL
TCA,ZİRAAT PORTFÖY ALTIN KATILIM FONU,Katılım Şemsiye Fonu,Altın,ZİRAAT,TL
TCB,TACİRLER PORTFÖY PARA PİYASASI FONU,Para Piyasası Şemsiye Fonu,Para Piyasası,TACİRLER,TL
TCC,TACİRLER PORTFÖY SERBEST ( DÖVİZ ) FON,Serbest Şemsiye Fonu,Döviz,TACİRLER,USD
TCD,TACİRLER PORTFÖY DEĞIŞKEN FON,Değişken Şemsiye Fonu,Değişken,TACİRLER,TL
TCF,TEB PORTFÖY ÜÇÜNCÜ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,Fon Sepeti,TEB,TL
TDG,İŞ PORTFÖY YABANCI BORÇLANMA ARAÇLARI FONU,Borçlanma Araçları Şemsiye Fonu,Yabancı Borçlanma Araçları,İŞ,TL
TE3,TEB PORTFÖY MUTLAK GETİRİ HEDEFLİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,İstatiksel Arbitraj,TEB,TL
TE4,TEB PORTFÖY BİRİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,Değişken,TEB,TL
